poleId,height,heightNumeric,diameter,poleType,status,latitude,longitude,ponNumber,zoneNumber,dropCount
LAW.P.D839,7m,7.0,120-140mm,distribution,Permission not granted,-26.38049246,27.807275139510597,191,17,0
LAW.P.D840,7m,7.0,140-160mm,feeder,Permission not granted,-26.38060359,27.807296677334396,191,17,0
LAW.P.D841,7m,7.0,140-160mm,feeder,Permission not granted,-26.38063464,27.80709922,191,17,0
LAW.P.D842,7m,7.0,120-140mm,distribution,Permission not granted,-26.38071473,27.80731822,191,17,0
LAW.P.D843,7m,7.0,140-160mm,feeder,Permission not granted,-26.38094144,27.807362152591196,191,17,0
LAW.P.D844,7m,7.0,140-160mm,feeder,Permission not granted,-26.38097246,27.8071647,191,17,0
LAW.P.D845,7m,7.0,120-140mm,distribution,Permission not granted,-26.38105257,27.807383690593397,191,17,0
LAW.P.D846,7m,7.0,140-160mm,feeder,Permission not granted,-26.38127928,27.80742763,191,17,0
LAW.P.D847,7m,7.0,140-160mm,feeder,Permission not granted,-26.38131029,27.80723017,191,17,0
LAW.P.D848,7m,7.0,140-160mm,feeder,Permission not granted,-26.38139041,27.80744917,191,17,0
LAW.P.D849,7m,7.0,140-160mm,feeder,Permission not granted,-26.37957948,27.8073423,192,17,0
LAW.P.D850,7m,7.0,140-160mm,feeder,Permission not granted,-26.37940167,27.807307839904198,192,17,0
LAW.P.D851,7m,7.0,140-160mm,feeder,Permission not granted,-26.37940871,27.80726682928559,192,17,0
LAW.P.D852,7m,7.0,120-140mm,distribution,Permission not granted,-26.37925495,27.80723879,192,17,0
LAW.P.D853,7m,7.0,120-140mm,distribution,Permission not granted,-26.37891895,27.807173716369498,192,17,0
LAW.P.D854,7m,7.0,120-140mm,distribution,Permission not granted,-26.37846989,27.80708661,192,17,0
LAW.P.D855,7m,7.0,140-160mm,feeder,Permission not granted,-26.37824317,27.80704279,192,17,0
LAW.P.D856,7m,7.0,140-160mm,feeder,Permission not granted,-26.37943893,27.8070709,192,17,0
LAW.P.D857,7m,7.0,120-140mm,distribution,Permission not granted,-26.37945134,27.80699198,192,17,0
LAW.P.D858,7m,7.0,140-160mm,feeder,Permission not granted,-26.37946916,27.806872205156377,192,17,0
LAW.P.D859,7m,7.0,120-140mm,distribution,Permission not granted,-26.37931704,27.806843907385797,192,17,0
LAW.P.D860,7m,7.0,120-140mm,distribution,Permission not granted,-26.37898104,27.806778804335696,192,17,0
LAW.P.D861,7m,7.0,140-160mm,feeder,Permission not granted,-26.37864317,27.806713354283698,192,17,0
LAW.P.D862,7m,7.0,120-140mm,distribution,Permission not granted,-26.37906105,27.80699776,192,17,0
LAW.P.D863,7m,7.0,140-160mm,feeder,Permission not granted,-26.37883881,27.806954743849296,192,17,0
LAW.P.D864,7m,7.0,140-160mm,feeder,Permission not granted,-26.37884837,27.80689395,192,17,0
LAW.P.D865,7m,7.0,120-140mm,distribution,Permission not granted,-26.37868383,27.80686212,192,17,0
LAW.P.D866,7m,7.0,140-160mm,feeder,Permission not granted,-26.37851045,27.80682859,192,17,0
LAW.P.D867,7m,7.0,140-160mm,feeder,Permission not granted,-26.37850092,27.80688925,192,17,0
LAW.P.D868,7m,7.0,120-140mm,distribution,Permission not granted,-26.37838534,27.8068669,192,17,0
LAW.P.D869,7m,7.0,140-160mm,feeder,Permission not granted,-26.3782742,27.80684541,192,17,0
LAW.P.D870,7m,7.0,120-140mm,distribution,Permission not granted,-26.37828664,27.80676633,192,17,0
LAW.P.D871,7m,7.0,140-160mm,feeder,Permission not granted,-26.37831147,27.806608396958197,192,17,0
