Property ID,Status,Location Address,GPS Latitude,GPS Longitude,Field Agent,Last Modified,Import Date,Flagged Date
247420,Missing,7131 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3768991132822,27.8129033381306,No Agent,2025-05-05 11:35:21.870801+02,2025-07-21T07:56:25.387Z,2025-07-21
247463,Missing,7108 LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3766298396607,27.8131035237232,No Agent,2025-05-05 11:48:30.560218+02,2025-07-21T07:56:26.596Z,2025-07-21
247589,Missing,6386 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3775842873996,27.8071048383843,No Agent,2025-05-05 12:27:05.026929+02,2025-07-21T07:56:46.385Z,2025-07-21
247682,Missing,6412 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3781181011054,27.805184467337,No Agent,2025-05-05 13:10:09.141729+02,2025-07-21T07:56:55.930Z,2025-07-21
247703,Missing,6368 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3775702901575,27.8086434566696,No Agent,2025-05-05 13:20:58.348618+02,2025-07-21T07:57:10.775Z,2025-07-21
248342,Missing,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374390885556934, 27.810858273691295]",-26.3743908855569,27.8108582736913,No Agent,2025-05-06 09:20:01.779883+02,2025-07-21T07:55:54.282Z,2025-07-21
248404,Missing,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37343864599242, 27.80939371844734]",-26.3734386459924,27.8093937184473,No Agent,2025-05-06 09:47:55.025041+02,2025-07-21T07:55:52.313Z,2025-07-21
248493,Missing,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.375376503639636, 27.81138706276722]",-26.3753765036396,27.8113870627672,No Agent,2025-05-06 10:11:55.41699+02,2025-07-21T07:56:35.528Z,2025-07-21
248494,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37420348863805, 27.807171268999383]",-26.374203488638,27.8071712689994,No Agent,2025-05-06 10:11:57.229668+02,2025-07-21T07:55:49.259Z,2025-07-21
248535,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37408182269747, 27.8050750980323]",-26.3740818226975,27.8050750980323,No Agent,2025-05-06 10:29:45.67524+02,2025-07-21T07:55:47.581Z,2025-07-21
248596,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.3738589363389, 27.8043230049552]",-26.3738589363389,27.8043230049552,No Agent,2025-05-06 10:58:40.821419+02,2025-07-21T07:55:46.400Z,2025-07-21
248958,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.373958364616538, 27.804163413601632]",-26.3739583646165,27.8041634136016,No Agent,2025-05-06 13:47:33.317157+02,2025-07-21T07:55:45.405Z,2025-07-21
248959,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37321354818264, 27.80418961703205]",-26.3732135481826,27.8041896170321,No Agent,2025-05-06 13:47:34.140942+02,2025-07-21T07:55:44.548Z,2025-07-21
248979,Missing,"SEVENTH AVENUE OPEN SPACE  364 WESTONARIA 1779 GT 79800008 JHB [-26.37149680066281, 27.803933085111947]",-26.3714968006628,27.803933085112,No Agent,2025-05-06 13:59:50.259426+02,2025-07-21T07:55:38.820Z,2025-07-21
248999,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374018339199807, 27.805422512401574]",-26.3740183391998,27.8054225124016,No Agent,2025-05-06 14:06:58.082068+02,2025-07-21T07:55:51.476Z,2025-07-21
249000,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374185462935266, 27.804395285309663]",-26.3741854629353,27.8043952853097,No Agent,2025-05-06 14:06:58.818502+02,2025-07-21T07:55:46.597Z,2025-07-21
249001,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37386501904803, 27.804310823655314]",-26.373865019048,27.8043108236553,No Agent,2025-05-06 14:06:59.734981+02,2025-07-21T07:55:46.005Z,2025-07-21
249002,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37386501904803, 27.804310823655314]",-26.373865019048,27.8043108236553,No Agent,2025-05-06 14:06:59.929679+02,2025-07-21T07:55:45.828Z,2025-07-21
249003,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37223779646667, 27.80403777882401]",-26.3722377964667,27.804037778824,No Agent,2025-05-06 14:07:00.598478+02,2025-07-21T07:55:40.608Z,2025-07-21
249049,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37055498741314, 27.804962412252753]",-26.3705549874131,27.8049624122527,No Agent,2025-05-06 14:17:41.271582+02,2025-07-21T07:55:37.159Z,2025-07-21
249053,Missing,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.3706184, 27.8054672]",-26.3706184,27.8054672,No Agent,2025-05-06 14:18:30.762217+02,2025-07-21T07:55:37.366Z,2025-07-21
249060,Missing,"SEVENTH AVENUE OPEN SPACE  364 WESTONARIA 1779 GT 79800008 JHB [-26.3723974753549, 27.803668986963]",-26.3723974753549,27.803668986963,No Agent,2025-05-06 14:21:24.842486+02,2025-07-21T07:55:42.352Z,2025-07-21
249079,Missing,74 MARKET STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3704369522623,27.8063847094522,No Agent,2025-05-06 14:28:47.258324+02,2025-07-21T07:55:36.260Z,2025-07-21
249324,Missing,6293 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3777819709822,27.8057710578514,No Agent,2025-05-06 15:18:07.981859+02,2025-07-21T07:56:50.452Z,2025-07-21
251483,Missing,8130 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-08 12:57:12.795356+02,2025-07-21T09:06:33.958Z,2025-07-21
251484,Missing,7925 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3833412336633,27.8125642154046,No Agent,2025-05-08 12:57:13.714769+02,2025-07-21T07:56:02.636Z,2025-07-21
259460,Missing,"ANGLER STREET OPEN SPACE  364 WESTONARIA 1779 GT 79800121 JHB [-26.39028065853392, 27.791465080690333]",,,No Agent,2025-05-15 15:41:13.589603+02,2025-07-21T09:06:31.389Z,2025-07-21
259461,Missing,"ANGLER STREET OPEN SPACE  364 WESTONARIA 1779 GT 79800121 JHB [-26.390155124817205, 27.791616471410414]",,,No Agent,2025-05-15 15:41:14.29381+02,2025-07-21T09:06:31.389Z,2025-07-21
263612,Missing,7557 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3824383752448,27.8101977278567,No Agent,2025-05-20 12:15:30.156816+02,2025-07-21T09:05:04.478Z,2025-07-21
263630,Missing,7559 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3824857536485,27.8098634178233,No Agent,2025-05-20 12:27:49.50711+02,2025-07-21T09:05:04.895Z,2025-07-21
264336,Missing,7518 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3825248283037,27.8095946123182,No Agent,2025-05-21 09:40:08.78506+02,2025-07-21T09:05:04.685Z,2025-07-21
264337,Missing,819 KIPPER CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 09:40:09.982667+02,2025-07-21T09:06:36.118Z,2025-07-21
264440,Missing,7644 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 10:46:50.611266+02,2025-07-21T09:06:31.965Z,2025-07-21
264441,Missing,7644 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 10:46:51.470056+02,2025-07-21T09:06:31.965Z,2025-07-21
264484,Missing,7565 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3827295026243,27.8090408594825,No Agent,2025-05-21 11:14:59.247861+02,2025-07-21T09:05:05.089Z,2025-07-21
264485,Missing,7641 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 11:15:05.802799+02,2025-07-21T09:06:31.965Z,2025-07-21
264486,Missing,"MOKOENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.3835383, 27.8087267]",,,No Agent,2025-05-21 11:15:02.752148+02,2025-07-21T09:06:31.962Z,2025-07-21
264487,Missing,7652 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 11:15:04.985264+02,2025-07-21T09:06:31.961Z,2025-07-21
264514,Missing,"MOKOENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.3833765, 27.8084186]",,,No Agent,2025-05-21 11:31:14.224692+02,2025-07-21T09:06:31.961Z,2025-07-21
264516,Missing,7659 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 11:31:16.611372+02,2025-07-21T09:06:31.961Z,2025-07-21
264544,Missing,7659 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 11:45:27.095063+02,2025-07-21T09:06:31.961Z,2025-07-21
264573,Missing,18 BLUEHEAD CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 11:57:44.462125+02,2025-07-21T09:06:33.957Z,2025-07-21
264575,Missing,21 BLUEHEAD CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 11:57:45.202426+02,2025-07-21T09:06:33.957Z,2025-07-21
264576,Missing,579 BLUEHEAD CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-21 11:57:45.947487+02,2025-07-21T09:06:33.957Z,2025-07-21
